q	refl	refl_err	q_res (FWHM)
0.00805912	0.011986	0.000401412	0.000691851
0.0084018	0.0109498	0.000321619	0.000721996
0.00875836	0.0109493	0.00028385	0.000751065
0.00912836	0.00942575	0.000229829	0.000783226
0.00951816	0.00859508	0.000192211	0.000817028
0.00992027	0.00800155	0.000167354	0.000848877
0.0103333	0.00692911	0.00014152	0.000884079
0.0107648	0.00660527	0.000124662	0.000920673
0.0112146	0.00647464	0.000112485	0.000958613
0.0116824	0.00579529	9.79E-05	0.000997832
0.0121676	0.00518202	8.47E-05	0.00103823
0.0126831	0.00483758	7.41E-05	0.00108562
0.0132307	0.00448104	6.64E-05	0.00113109
0.013797	0.00404348	5.88E-05	0.0011777
0.0143805	0.00370476	5.30E-05	0.00122523
0.014998	0.00341522	4.65E-05	0.0012818
0.015651	0.00319777	4.27E-05	0.00133463
0.0163196	0.00307828	4.03E-05	0.00138804
0.0170247	0.00272655	3.52E-05	0.00145239
0.0177674	0.00245304	3.21E-05	0.00151107
0.0185205	0.00229113	3.00E-05	0.00156962
0.0193099	0.00206223	2.67E-05	0.00164101
0.0201356	0.00192638	2.51E-05	0.00170419
0.0209987	0.00169243	2.21E-05	0.00178207
0.0218986	0.0016047	2.12E-05	0.00184963
0.0228359	0.0014865	1.93E-05	0.00193383
0.0238087	0.00134597	1.85E-05	0.00200525
0.0248169	0.00125091	1.71E-05	0.00209522
0.0259149	0.00113073	1.57E-05	0.0021941
0.0270518	0.00104921	1.58E-05	0.00227527
0.0282263	0.000977483	1.53E-05	0.0023801
0.0294328	0.000900753	1.59E-05	0.00246354
0.0306681	0.000794386	1.52E-05	0.00257242
0.0320122	0.000734963	1.45E-05	0.00269191
0.033383	0.000665633	1.51E-05	0.00278296
0.0347746	0.000634011	1.51E-05	0.00290471
0.0360608	0.000593657	1.73E-05	0.00295815
0.0364717	0.000597179	2.52E-05	0.00286116
0.0378847	0.000504075	1.96E-05	0.00298377
0.0393802	0.000475068	1.69E-05	0.00310269
0.0409291	0.000429426	1.45E-05	0.00322546
0.0425293	0.000383694	1.23E-05	0.00335185
0.0441779	0.000375711	1.12E-05	0.00348151
0.0459166	0.000335459	9.37E-06	0.00363404
0.04775	0.000318483	8.39E-06	0.00377878
0.0496316	0.0002809	7.19E-06	0.00392664
0.0515548	0.000264834	6.45E-06	0.00407696
0.0535737	0.000243723	5.61E-06	0.00425565
0.0556909	0.000221804	4.98E-06	0.00442162
0.0579124	0.000214779	4.44E-06	0.00462044
0.0602407	0.000188462	3.91E-06	0.00480358
0.0626818	0.000168584	3.44E-06	0.00502475
0.0652373	0.000158397	3.12E-06	0.00522661
0.067913	0.000143074	2.77E-06	0.00547229
0.0707094	0.000134773	2.55E-06	0.00569432
0.0736315	0.000117098	2.20E-06	0.00596641
0.0766778	0.000106379	2.05E-06	0.00620992
0.079852	9.79E-05	1.84E-06	0.00651001
0.0831498	9.02E-05	1.73E-06	0.00677575
0.0865726	8.15E-05	1.55E-06	0.00710497
0.0902905	7.38E-05	1.40E-06	0.00746918
0.0941481	6.35E-05	1.33E-06	0.00778855
0.0981452	5.91E-05	1.23E-06	0.00818824
0.102268	5.56E-05	1.20E-06	0.00853518
0.10651	4.76E-05	1.09E-06	0.00896915
0.11112	4.18E-05	1.00E-06	0.00945101
0.116149	3.71E-05	9.15E-07	0.00998975
0.121332	3.38E-05	9.17E-07	0.010456
0.126655	2.86E-05	8.55E-07	0.0110437
0.132468	2.54E-05	7.97E-07	0.0117036
0.13884	2.05E-05	7.46E-07	0.0124484
0.14539	1.90E-05	7.69E-07	0.0130967
0.152096	1.67E-05	7.44E-07	0.0139133
0.15945	1.41E-05	7.35E-07	0.01484
0.167549	1.00E-05	7.51E-07	0.0158953
0.175835	9.45E-06	8.48E-07	0.0168306
0.184259	8.66E-06	8.85E-07	0.0179894
0.193528	5.52E-06	8.96E-07	0.0193127
0.203789	5.28E-06	9.40E-07	0.0208421
0.215188	4.62E-06	9.64E-07	0.0226154
0.228547	2.13E-06	9.95E-07	0.0246913
0.242291	-1.96E-06	1.02E-06	0.0271666
0.257114	9.22E-07	1.18E-06	0.029511
