q	refl	refl_err	q_res (FWHM)
0.00805912	0.018102	0.000677034	0.000692072
0.0084018	0.0168472	0.000548906	0.000722226
0.00875836	0.0161125	0.000474003	0.000751305
0.00912836	0.015102	0.00040247	0.000783476
0.00951816	0.0137081	0.000335943	0.000817289
0.00992027	0.0122849	0.000288118	0.00084915
0.0103333	0.0116705	0.000256203	0.000884363
0.0107648	0.0105581	0.000219438	0.00092097
0.0112146	0.00944225	0.000188896	0.000958923
0.0116824	0.00894224	0.000169418	0.000998155
0.0121676	0.00838915	0.000150744	0.00103857
0.0126831	0.00764693	0.000129994	0.00108597
0.0132307	0.00715744	0.000117497	0.00113146
0.013797	0.00633906	0.000103122	0.00117808
0.0143805	0.00584295	9.31E-05	0.00122563
0.014998	0.00552389	8.29E-05	0.00128221
0.015651	0.00491756	7.42E-05	0.00133507
0.0163196	0.00456489	6.87E-05	0.00138849
0.0170247	0.00420479	6.14E-05	0.00145287
0.0177674	0.00387397	5.67E-05	0.00151157
0.0185205	0.00350994	5.22E-05	0.00157014
0.0193099	0.00326466	4.72E-05	0.00164156
0.0201356	0.00295597	4.37E-05	0.00170476
0.0209987	0.00278792	3.99E-05	0.00178266
0.0218986	0.00253013	3.74E-05	0.00185026
0.0228359	0.00235654	3.43E-05	0.00193449
0.0238087	0.00220317	3.32E-05	0.00200594
0.0248169	0.00188895	2.95E-05	0.00209593
0.0259149	0.00181326	2.80E-05	0.00219485
0.0270518	0.00160464	2.74E-05	0.00227607
0.0282263	0.00150114	2.66E-05	0.00238092
0.0294328	0.00138782	2.78E-05	0.00246442
0.0306681	0.00126503	2.70E-05	0.00257333
0.0320122	0.00114297	2.55E-05	0.00269287
0.033383	0.00101958	2.62E-05	0.00278397
0.0347746	0.000989094	2.64E-05	0.00290576
0.0360608	0.000858057	2.94E-05	0.00295929
0.0364726	0.000855407	3.35E-05	0.00286021
0.0378856	0.000760126	2.67E-05	0.00298275
0.0393812	0.000690726	2.27E-05	0.00310159
0.0409301	0.000654378	1.96E-05	0.00322428
0.0425304	0.00058701	1.66E-05	0.00335056
0.0441791	0.000546429	1.50E-05	0.00348012
0.0459179	0.000498992	1.24E-05	0.00363256
0.0477514	0.000450554	1.08E-05	0.00377719
0.0496332	0.000415313	9.52E-06	0.0039249
0.0515565	0.000384644	8.47E-06	0.00407509
0.0535755	0.000348429	7.25E-06	0.00425364
0.0556928	0.000323682	6.50E-06	0.00441944
0.0579145	0.000296521	5.65E-06	0.00461811
0.060243	0.000276383	5.11E-06	0.00480108
0.0626842	0.000243945	4.40E-06	0.00502208
0.0652399	0.00022618	4.01E-06	0.00522371
0.0679159	0.000208921	3.53E-06	0.00546916
0.0707126	0.000184164	3.17E-06	0.00569092
0.073635	0.000164699	2.78E-06	0.00596283
0.0766816	0.000147116	2.54E-06	0.00620599
0.0798561	0.000133621	2.25E-06	0.00650576
0.0831542	0.000122773	2.10E-06	0.00677126
0.0865773	0.000108121	1.89E-06	0.00709997
0.0902956	9.60E-05	1.67E-06	0.00746386
0.0941537	8.55E-05	1.59E-06	0.00778277
0.0981513	7.68E-05	1.45E-06	0.0081821
0.102274	7.03E-05	1.40E-06	0.00852876
0.106517	6.17E-05	1.28E-06	0.00896166
0.111128	5.27E-05	1.16E-06	0.00944348
0.116158	4.69E-05	1.07E-06	0.00998163
0.121341	4.30E-05	1.06E-06	0.0104467
0.126665	3.50E-05	9.76E-07	0.0110344
0.132478	3.24E-05	9.18E-07	0.0116933
0.138853	2.85E-05	8.57E-07	0.0124381
0.145404	2.43E-05	8.75E-07	0.0130844
0.152111	2.03E-05	8.38E-07	0.0139008
0.159466	1.74E-05	8.27E-07	0.0148268
0.167566	1.50E-05	8.49E-07	0.0158812
0.175852	9.52E-06	9.49E-07	0.0168134
0.184279	8.11E-06	9.80E-07	0.0179732
0.19355	6.65E-06	1.00E-06	0.019296
0.203809	5.99E-06	1.05E-06	0.0208245
0.215217	5.59E-06	1.06E-06	0.0225959
0.228583	5.71E-06	1.11E-06	0.0246756
0.242331	6.09E-07	1.12E-06	0.0271349
0.25717	-1.39E-07	1.31E-06	0.0294883
