q	refl	refl_err	q_res (FWHM)
0.00805943	0.0147179	0.00060426	0.000691743
0.00840213	0.0136117	0.000487455	0.00072187
0.00875873	0.0117682	0.000398788	0.000750916
0.00912876	0.0120613	0.000354585	0.000783053
0.00951859	0.010847	0.00029622	0.00081683
0.00992074	0.009811	0.000255211	0.000848647
0.0103339	0.00936806	0.000227246	0.000883818
0.0107653	0.00869566	0.000197309	0.000920377
0.0112152	0.00769685	0.000169105	0.000958279
0.011683	0.00720901	0.000151455	0.000997455
0.0121684	0.00658784	0.000132506	0.00103781
0.0126839	0.00612418	0.000115574	0.00108515
0.0132316	0.00554635	0.000102717	0.00113056
0.013798	0.00505341	9.13E-05	0.00117711
0.0143815	0.00486208	8.46E-05	0.00122457
0.0149799	0.00434253	7.57E-05	0.00127269
0.015611	0.00402012	6.72E-05	0.00133005
0.016276	0.00375486	6.24E-05	0.00138306
0.0169772	0.00343427	5.55E-05	0.00144691
0.0177156	0.00314595	5.13E-05	0.00150511
0.0184642	0.00292879	4.78E-05	0.00156316
0.0192487	0.0026259	4.24E-05	0.00163393
0.0200689	0.00243945	3.98E-05	0.00169652
0.0209261	0.00224845	3.60E-05	0.00177365
0.0218196	0.00202795	3.37E-05	0.00184054
0.02275	0.00190739	3.09E-05	0.00192386
0.0237152	0.00174059	2.96E-05	0.00199449
0.0247153	0.00164354	2.76E-05	0.00208343
0.0258041	0.0014985	2.55E-05	0.00218114
0.0269309	0.00133776	2.51E-05	0.0022613
0.0280947	0.00121229	2.40E-05	0.00236476
0.0292897	0.00112881	2.50E-05	0.00244706
0.0305127	0.00103406	2.44E-05	0.00255441
0.0318429	0.000935891	2.32E-05	0.00267217
0.0331988	0.00083569	2.38E-05	0.00276178
0.0345748	0.000846943	2.45E-05	0.00288158
0.0359575	0.000746825	2.50E-05	0.00296942
0.0364734	0.000706074	3.01E-05	0.00285926
0.0378865	0.000590451	2.30E-05	0.00298173
0.0393822	0.000587191	2.05E-05	0.00310049
0.0409312	0.000532392	1.76E-05	0.0032231
0.0425316	0.000475952	1.48E-05	0.00334927
0.0441803	0.000477408	1.38E-05	0.00347874
0.0459192	0.000395472	1.10E-05	0.00363108
0.0477528	0.000384418	9.97E-06	0.00377558
0.0496347	0.000324434	8.43E-06	0.00392317
0.0515582	0.000313581	7.63E-06	0.00407321
0.0535773	0.000281275	6.54E-06	0.00425165
0.0556948	0.000257982	5.88E-06	0.00441729
0.0579167	0.000245239	5.19E-06	0.00461579
0.0602453	0.000224833	4.66E-06	0.00479855
0.0626868	0.000197197	4.01E-06	0.00501939
0.0652427	0.000179207	3.62E-06	0.00522078
0.0679189	0.000161688	3.19E-06	0.00546602
0.0707158	0.000144213	2.89E-06	0.00568752
0.0736384	0.000134124	2.55E-06	0.00595914
0.0766853	0.000128161	2.39E-06	0.00620202
0.0798602	0.000113331	2.12E-06	0.0065016
0.0831588	0.000101108	1.95E-06	0.00676663
0.0865822	9.46E-05	1.78E-06	0.00709507
0.0903009	8.24E-05	1.58E-06	0.00745858
0.0941595	7.09E-05	1.48E-06	0.00777711
0.0981573	6.42E-05	1.38E-06	0.00817586
0.102281	5.73E-05	1.32E-06	0.00852193
0.106524	5.42E-05	1.25E-06	0.00895464
0.111136	4.73E-05	1.12E-06	0.00943587
0.116167	3.63E-05	1.01E-06	0.00997377
0.121351	3.48E-05	1.02E-06	0.0104381
0.126676	3.26E-05	9.58E-07	0.0110248
0.132489	2.61E-05	8.89E-07	0.0116833
0.138864	2.19E-05	8.24E-07	0.0124271
0.145418	1.74E-05	8.42E-07	0.0130727
0.152125	1.86E-05	8.25E-07	0.0138879
0.159483	1.38E-05	8.13E-07	0.0148125
0.167584	1.05E-05	8.26E-07	0.0158671
0.175873	9.51E-06	9.38E-07	0.0167988
0.184302	7.15E-06	9.76E-07	0.0179569
0.193577	4.62E-06	9.89E-07	0.0192816
0.203839	6.86E-06	1.05E-06	0.0208077
0.215248	3.47E-06	1.07E-06	0.0225798
0.22862	5.42E-06	1.10E-06	0.0246557
0.242366	1.97E-06	1.13E-06	0.0271201
0.257213	-1.50E-06	1.30E-06	0.0294659
