q	refl	refl_err	q_res (FWHM)
0.00803273	1.04029	0.0229206	0.000579612
0.00831692	0.964667	0.0186752	0.000599939
0.00861148	0.984081	0.0168969	0.000620887
0.00891622	0.993982	0.0157057	0.000642419
0.00923083	0.996091	0.0142482	0.000664491
0.00955485	1.00467	0.0130591	0.000687044
0.00989579	1.01137	0.0119295	0.000713566
0.0102545	1.00476	0.0110168	0.00073842
0.0106227	0.99587	0.0100828	0.000763687
0.0109996	1.00725	0.00940479	0.000789263
0.0113837	0.994314	0.00860824	0.000815031
0.0117852	0.986967	0.00781691	0.000845842
0.0122045	1.01275	0.00756265	0.000873682
0.0126426	0.993986	0.00677528	0.000907307
0.0130997	1.00174	0.00643623	0.000937282
0.0135612	1.00226	0.00611989	0.000967054
0.0140408	0.997997	0.00562611	0.00100347
0.0145385	1.00988	0.0055031	0.00103505
0.0150547	1.00836	0.00515507	0.00107409
0.0155889	1.0137	0.00508808	0.00110731
0.0161415	1.0054	0.00475919	0.00114887
0.0167114	0.983573	0.00459884	0.00118351
0.0172987	0.795324	0.00369662	0.00122735
0.0179294	0.504449	0.00250841	0.00127476
0.0185789	0.264692	0.00162353	0.0013131
0.0192468	0.173676	0.0011902	0.00136281
0.0199309	0.125253	0.000978648	0.00140191
0.0206302	0.0954643	0.000795036	0.0014533
0.0213809	0.0732253	0.000647486	0.00150881
0.0221465	0.0565936	0.000564349	0.00155074
0.0229252	0.0450124	0.000476067	0.0016074
0.0237612	0.0366988	0.000408476	0.00166858
0.0246086	0.0296655	0.000373232	0.00171262
0.0254643	0.0245357	0.000326468	0.00177399
0.0263821	0.0204101	0.000290983	0.00184016
0.027369	0.0167176	0.000261107	0.00191175
0.0283634	0.0144555	0.000260567	0.00195961
0.0293601	0.0116598	0.000237943	0.00203002
0.0304299	0.00965717	0.000220134	0.00210598
0.031581	0.00824411	0.000202849	0.00218817
0.0327299	0.00625474	0.000190713	0.00223813
0.0338686	0.00563906	0.000185478	0.00231671
0.0350898	0.00435676	0.000166369	0.00240134
0.0364027	0.00382776	0.000155867	0.00249274
0.037818	0.00304557	0.00013873	0.00259179
0.0392144	0.00293752	0.000150132	0.00264336
0.0398838	0.00252652	4.82E-05	0.00313334
0.0414377	0.00205475	3.62E-05	0.00326865
0.0430793	0.00182601	3.04E-05	0.00339852
0.0447723	0.00148786	2.42E-05	0.00353193
0.0465127	0.00125952	1.97E-05	0.00366846
0.0483459	0.00104065	1.57E-05	0.00382969
0.0502763	0.000838466	1.26E-05	0.00398164
0.0522513	0.0007	1.04E-05	0.00413629
0.0543267	0.000599259	8.61E-06	0.00432066
0.0565056	0.000485183	7.15E-06	0.00449184
0.0587191	0.000407384	6.14E-06	0.00466468
0.0610352	0.000336323	5.03E-06	0.00487245
0.0634548	0.000279139	4.33E-06	0.00506201
0.0659826	0.000235852	3.65E-06	0.00529148
0.0686185	0.000184215	3.12E-06	0.00549882
0.0713661	0.000148006	2.61E-06	0.00575135
0.0742234	0.000126904	2.34E-06	0.00597724
0.077193	0.000104081	2.00E-06	0.00625393
0.080411	8.46E-05	1.70E-06	0.0065588
0.0837563	6.69E-05	1.54E-06	0.00682862
0.0872304	5.56E-05	1.34E-06	0.00716346
0.0908252	4.60E-05	1.24E-06	0.00745664
0.0945388	3.63E-05	1.11E-06	0.00782088
0.0985698	2.65E-05	9.92E-07	0.00822441
0.102729	2.31E-05	9.60E-07	0.00857455
0.10701	1.63E-05	8.69E-07	0.00901281
0.111665	1.50E-05	7.91E-07	0.00950014
0.116746	1.19E-05	7.30E-07	0.0100452
0.121982	1.01E-05	7.31E-07	0.0105169
0.127364	6.39E-06	6.78E-07	0.0111123
0.133243	5.28E-06	6.40E-07	0.0117817
0.139692	4.99E-06	6.06E-07	0.0125379
0.146326	3.66E-06	6.25E-07	0.0131956
0.15312	4.24E-06	6.10E-07	0.014026
0.160575	2.00E-06	6.06E-07	0.0149668
0.168791	2.87E-06	6.48E-07	0.0160431
0.177206	2.86E-06	7.41E-07	0.0169966
0.185764	3.31E-06	7.70E-07	0.0181819
0.19519	1.58E-06	7.90E-07	0.0195365
0.205627	2.35E-06	8.42E-07	0.0211006
0.217242	4.36E-06	8.64E-07	0.0229203
0.230289	2.74E-06	8.89E-07	0.0250571
0.244903	-6.77E-07	9.07E-07	0.0275948
