q	refl	refl_err	q_res (FWHM)
0.00803303	0.988684	0.0220407	0.000579193
0.00831724	0.974736	0.0188339	0.000599489
0.00861183	0.966964	0.0166784	0.000620405
0.0089166	1.01238	0.0159379	0.000641902
0.00923124	1.01227	0.0144384	0.000663936
0.00955529	1.02038	0.0132258	0.000686448
0.00988813	1.01876	0.0123057	0.00070937
0.0102377	1.00347	0.0110688	0.000736395
0.0106047	1.00233	0.0102093	0.000761515
0.0109801	1.00594	0.00943628	0.000786939
0.0113737	0.996374	0.00842195	0.000817278
0.0117859	0.998747	0.00789285	0.000844941
0.0122052	1.01339	0.00757013	0.000872711
0.0126434	1.00824	0.00685427	0.000906272
0.0131006	1.01854	0.00652305	0.000936166
0.0135621	1.00551	0.00613827	0.000965853
0.0140418	1.01133	0.00568756	0.00100219
0.0145396	1.01985	0.00554824	0.00103367
0.0150558	1.01295	0.00517584	0.00107262
0.0155901	1.01348	0.00508999	0.00110573
0.0161427	1.00407	0.00475668	0.00114718
0.0167128	0.994104	0.0046394	0.00118168
0.0173002	0.817846	0.00377784	0.0012254
0.017931	0.526653	0.00258746	0.00127268
0.0185807	0.281794	0.0016899	0.00131085
0.0192487	0.179233	0.00121027	0.00136041
0.0199329	0.128372	0.000992457	0.00139931
0.0206323	0.098733	0.000814335	0.00145052
0.0213832	0.0745942	0.000661427	0.00150585
0.022149	0.0580334	0.000576698	0.00154753
0.0229279	0.0451985	0.00047974	0.00160397
0.023764	0.0370472	0.000412019	0.00166493
0.0246116	0.0305307	0.000380075	0.00170864
0.0254675	0.0251909	0.000332118	0.00176975
0.0263856	0.019908	0.000288144	0.00183564
0.0273728	0.0171324	0.000265102	0.00190692
0.0283674	0.0140532	0.000257698	0.00195433
0.0293645	0.0116724	0.000238467	0.0020244
0.0304346	0.00937359	0.000217445	0.00209997
0.031586	0.0081256	0.000201825	0.00218173
0.0327353	0.00663458	0.000197395	0.00223107
0.0338744	0.00566296	0.000186265	0.00230919
0.035096	0.00495971	0.000178165	0.0023933
0.0364094	0.00388594	0.000156919	0.00248414
0.0377016	0.00324502	0.000157802	0.00253253
0.0389602	0.00264701	0.000143961	0.00261585
0.0398818	0.00252749	4.82E-05	0.00313561
0.0414356	0.00211648	3.70E-05	0.00327108
0.043077	0.00178645	2.99E-05	0.00340115
0.0447698	0.00148402	2.41E-05	0.00353477
0.0465099	0.00126889	1.98E-05	0.00367152
0.048343	0.00106086	1.59E-05	0.00383296
0.0502731	0.000840554	1.26E-05	0.00398519
0.0522479	0.000711841	1.05E-05	0.00414013
0.0543229	0.000585924	8.49E-06	0.00432476
0.0565015	0.000473998	7.06E-06	0.00449628
0.0587147	0.000399633	6.07E-06	0.00466952
0.0610305	0.000326261	4.98E-06	0.00487762
0.0634497	0.000265134	4.24E-06	0.00506762
0.0659771	0.000219694	3.55E-06	0.00529744
0.0686124	0.000183433	3.11E-06	0.00550526
0.0713596	0.000149664	2.62E-06	0.00575823
0.0742164	0.000117913	2.27E-06	0.00598476
0.0771854	9.61E-05	1.94E-06	0.00626193
0.0804028	7.81E-05	1.66E-06	0.00656732
0.0837474	6.24E-05	1.50E-06	0.00683798
0.0872208	4.95E-05	1.29E-06	0.00717339
0.0908147	3.93E-05	1.20E-06	0.00746748
0.0945272	3.09E-05	1.07E-06	0.00783241
0.0985576	2.40E-05	9.65E-07	0.00823693
0.102716	1.85E-05	9.27E-07	0.00858811
0.106996	1.54E-05	8.51E-07	0.00902721
0.111649	1.21E-05	7.81E-07	0.00951546
0.116728	8.81E-06	7.08E-07	0.010062
0.121963	6.76E-06	7.03E-07	0.0105347
0.127343	6.34E-06	6.69E-07	0.0111315
0.133221	4.60E-06	6.27E-07	0.0118015
0.139667	5.67E-06	5.94E-07	0.0125594
0.146299	4.55E-06	6.20E-07	0.013219
0.153089	2.60E-06	5.98E-07	0.0140516
0.160543	2.12E-06	6.11E-07	0.0149948
0.168756	1.31E-06	6.35E-07	0.0160727
0.177166	7.67E-07	7.17E-07	0.0170276
0.18572	2.86E-06	7.60E-07	0.0182143
0.195142	9.36E-07	7.74E-07	0.0195707
0.205573	3.55E-07	8.29E-07	0.0211374
0.217183	2.15E-06	8.41E-07	0.02296
0.230211	-1.47E-06	8.66E-07	0.025093
0.244831	-9.42E-07	9.01E-07	0.0276418
