q	refl	refl_err	q_res (FWHM)
0.00803273	1.00268	0.0222814	0.000579612
0.00831692	0.95504	0.0185317	0.000599939
0.00861148	0.987343	0.0169451	0.000620887
0.00891622	1.01225	0.0159333	0.000642419
0.00923083	1.01559	0.0144728	0.000664491
0.00955485	0.998425	0.0130004	0.000687044
0.00989579	1.02045	0.0120164	0.000713567
0.0102545	0.995901	0.0109435	0.00073842
0.0106227	1.00183	0.0101326	0.000763687
0.0109996	0.999551	0.00934986	0.000789264
0.0113837	0.995388	0.00861672	0.000815031
0.0117852	0.989888	0.00783655	0.000845843
0.0122045	1.01722	0.00758957	0.000873682
0.0126426	1.00968	0.0068598	0.000907307
0.0130997	1.00596	0.00645781	0.000937282
0.0135612	1.00635	0.00613985	0.000967055
0.0140408	1.01359	0.00569482	0.00100347
0.0145385	1.01921	0.00554354	0.00103505
0.0150547	1.00827	0.00515523	0.00107409
0.0155889	1.01335	0.00508734	0.00110731
0.0161415	1.00992	0.00477638	0.00114887
0.0167114	1.00134	0.00466354	0.00118351
0.0172987	0.820673	0.00378543	0.00122735
0.0179294	0.533538	0.00260899	0.00127476
0.0185789	0.284357	0.00169826	0.0013131
0.0192468	0.181388	0.00122002	0.00136281
0.0199309	0.132083	0.00100876	0.00140191
0.0206302	0.0974459	0.00080622	0.0014533
0.0213809	0.0758607	0.000661353	0.00150881
0.0221465	0.0590361	0.000578429	0.00155074
0.0229252	0.0476659	0.000491317	0.0016074
0.0237612	0.0371858	0.000411973	0.00166859
0.0246086	0.0304375	0.000378878	0.00171262
0.0254643	0.0252221	0.000331673	0.00177399
0.0263821	0.0204735	0.000291679	0.00184016
0.027369	0.0169815	0.000263653	0.00191175
0.0283634	0.0140874	0.000257457	0.00195961
0.0293601	0.0117548	0.00023901	0.00203002
0.0304299	0.00979745	0.000221919	0.00210598
0.031581	0.00811005	0.000201572	0.00218817
0.0327299	0.00674346	0.000198096	0.00223813
0.0338686	0.00557793	0.000184409	0.00231672
0.0350898	0.00451895	0.000169692	0.00240135
0.0364027	0.00394922	0.000158123	0.00249274
0.037818	0.0032453	0.000143187	0.00259179
0.0392144	0.00275281	0.000146141	0.00264337
0.0398818	0.00260174	4.93E-05	0.00313561
0.0414356	0.0021153	3.70E-05	0.00327107
0.043077	0.00180026	3.01E-05	0.00340115
0.0447698	0.00154139	2.48E-05	0.00353477
0.0465099	0.00123472	1.94E-05	0.00367152
0.048343	0.00107035	1.60E-05	0.00383298
0.0502731	0.000858374	1.28E-05	0.00398519
0.0522479	0.000725889	1.07E-05	0.00414013
0.054323	0.000581128	8.50E-06	0.00432476
0.0565016	0.000515899	7.39E-06	0.00449629
0.0587147	0.000416368	6.22E-06	0.00466954
0.0610305	0.000341806	5.07E-06	0.00487761
0.0634497	0.000288705	4.39E-06	0.0050676
0.0659771	0.000232346	3.65E-06	0.00529742
0.0686124	0.000188093	3.16E-06	0.00550525
0.0713596	0.000159632	2.68E-06	0.00575828
0.0742164	0.000125373	2.32E-06	0.00598478
0.0771854	0.000111704	2.04E-06	0.00626197
0.0804028	8.56E-05	1.70E-06	0.00656739
0.0837473	6.72E-05	1.52E-06	0.00683798
0.0872208	5.37E-05	1.32E-06	0.00717331
0.0908146	4.65E-05	1.23E-06	0.00746741
0.0945275	3.46E-05	1.09E-06	0.0078325
0.0985575	2.75E-05	9.82E-07	0.00823683
0.102716	2.03E-05	9.33E-07	0.00858806
0.106996	1.88E-05	8.67E-07	0.0090271
0.111649	1.11E-05	7.73E-07	0.00951578
0.116728	1.10E-05	7.08E-07	0.010062
0.121963	9.99E-06	7.15E-07	0.0105345
0.127344	7.60E-06	6.68E-07	0.0111316
0.133221	6.52E-06	6.24E-07	0.0118019
0.139668	4.76E-06	5.93E-07	0.01256
0.146299	2.41E-06	6.03E-07	0.0132193
0.15309	3.64E-06	6.01E-07	0.0140512
0.160543	3.18E-06	6.01E-07	0.0149936
0.168756	3.14E-06	6.22E-07	0.0160723
0.177166	1.80E-06	7.28E-07	0.0170276
0.185719	4.96E-06	7.61E-07	0.018213
0.195145	2.53E-06	7.66E-07	0.0195707
0.205577	1.38E-06	8.22E-07	0.021137
0.21718	1.30E-06	8.30E-07	0.0229563
0.230214	2.32E-06	8.65E-07	0.0250973
0.244823	2.43E-06	8.93E-07	0.0276329
