q	refl	refl_err	q_res (FWHM)
0.00805928	0.0157835	0.000629181	0.000691907
0.00840196	0.0149223	0.000514502	0.000722048
0.00875855	0.0136174	0.00043174	0.00075111
0.00912856	0.0131834	0.000372493	0.000783264
0.00951838	0.0115461	0.000305948	0.000817059
0.0099205	0.0107649	0.000267961	0.000848899
0.0103336	0.00969085	0.000231945	0.00088409
0.0107651	0.00921054	0.000203565	0.000920673
0.0112149	0.00838207	0.000177199	0.0009586
0.0116827	0.00764334	0.000156085	0.000997804
0.012168	0.00743845	0.00014138	0.00103819
0.0126835	0.00678542	0.000122028	0.00108556
0.0132311	0.00633254	0.000110164	0.00113101
0.0137975	0.00557175	9.62E-05	0.00117759
0.014381	0.00531348	8.86E-05	0.0012251
0.0149985	0.00480957	7.72E-05	0.00128164
0.0156516	0.00450061	7.09E-05	0.00133444
0.0163203	0.00418994	6.57E-05	0.00138781
0.0170255	0.00383196	5.85E-05	0.00145213
0.0177682	0.00350585	5.39E-05	0.00151076
0.0185214	0.00317199	4.95E-05	0.00156926
0.0193109	0.00300393	4.52E-05	0.0016406
0.0201366	0.00270553	4.18E-05	0.00170372
0.0209998	0.00247968	3.76E-05	0.00178154
0.0218998	0.0022885	3.56E-05	0.00184902
0.0228372	0.00213067	3.25E-05	0.00193315
0.0238101	0.00198961	3.16E-05	0.00200448
0.0248184	0.00180864	2.89E-05	0.00209435
0.0259166	0.0016428	2.67E-05	0.00219314
0.0270536	0.00153157	2.68E-05	0.00227419
0.0282283	0.00137338	2.55E-05	0.00237889
0.029435	0.00127219	2.66E-05	0.00246219
0.0306705	0.00116117	2.60E-05	0.00257093
0.0320148	0.0010313	2.43E-05	0.00269027
0.0333858	0.000964811	2.56E-05	0.00278111
0.0347777	0.00087943	2.50E-05	0.00290267
0.0360641	0.000831836	2.88E-05	0.00295584
0.0364742	0.000760982	3.12E-05	0.00285831
0.0378874	0.00066733	2.46E-05	0.00298071
0.0393831	0.00059926	2.11E-05	0.00309939
0.0409322	0.000588841	1.85E-05	0.00322191
0.0425327	0.000514901	1.55E-05	0.00334798
0.0441815	0.000499619	1.41E-05	0.00347736
0.0459206	0.000411031	1.14E-05	0.0036296
0.0477543	0.000406298	1.03E-05	0.00377398
0.0496363	0.000376955	9.07E-06	0.00392142
0.0515599	0.000347994	8.08E-06	0.00407134
0.0535791	0.000325389	7.02E-06	0.00424962
0.0556968	0.000287256	6.11E-06	0.00441511
0.0579188	0.000268994	5.41E-06	0.00461346
0.0602476	0.000247749	4.87E-06	0.00479604
0.0626892	0.000225658	4.23E-06	0.00501667
0.0652454	0.000206175	3.84E-06	0.00521787
0.0678211	0.000191838	3.58E-06	0.00541933
0.0705037	0.000173116	3.11E-06	0.0056643
0.0734084	0.000160689	2.76E-06	0.00593366
0.0764359	0.000142958	2.54E-06	0.00617438
0.0795895	0.000135245	2.25E-06	0.00647118
0.0828651	0.000117933	2.09E-06	0.00673376
0.0862641	0.000107941	1.89E-06	0.00705894
0.0899548	9.61E-05	1.68E-06	0.00741876
0.093783	8.82E-05	1.60E-06	0.00773371
0.0977484	7.85E-05	1.47E-06	0.00812803
0.101837	6.79E-05	1.41E-06	0.0084698
0.106043	6.09E-05	1.29E-06	0.00889731
0.110612	5.41E-05	1.18E-06	0.00937227
0.115594	4.94E-05	1.09E-06	0.00990289
0.120726	4.34E-05	1.06E-06	0.0103605
0.125994	3.83E-05	9.98E-07	0.0109383
0.131745	3.36E-05	9.30E-07	0.0115861
0.138046	2.84E-05	8.76E-07	0.0123181
0.144521	2.28E-05	8.80E-07	0.0129529
0.151144	2.08E-05	8.49E-07	0.0137536
0.158405	1.56E-05	8.21E-07	0.0146609
0.166394	1.34E-05	8.42E-07	0.0156946
0.175237	1.18E-05	8.89E-07	0.0168829
0.184323	1.05E-05	9.83E-07	0.0179395
0.193601	8.79E-06	1.01E-06	0.0192613
0.203864	5.73E-06	1.05E-06	0.0207885
0.215279	4.47E-06	1.08E-06	0.0225585
0.228651	4.03E-06	1.11E-06	0.0246359
0.24241	1.64E-06	1.14E-06	0.0271043
0.25725	3.63E-06	1.32E-06	0.029439
