q	refl	refl_err	q_res (FWHM)
0.00803258	1.03592	0.0228472	0.00057983
0.00831675	0.991811	0.0190724	0.000600174
0.0086113	0.999711	0.0171075	0.000621138
0.00891603	1.01552	0.0159703	0.000642688
0.00923063	1.02524	0.0145762	0.000664778
0.00955463	1.02341	0.013251	0.000687352
0.00989556	1.02365	0.0120421	0.000713895
0.0102542	0.996893	0.0109497	0.000738772
0.0106225	0.99811	0.010101	0.000764066
0.0109993	1.01981	0.00949623	0.00078967
0.0113942	1.00583	0.00843186	0.000820219
0.011808	1.00883	0.0079139	0.000848095
0.0122291	1.01473	0.00753424	0.000876087
0.012669	1.00378	0.00679572	0.000909905
0.0131281	1.01483	0.00645744	0.000940059
0.0135917	1.01349	0.00614141	0.000970014
0.0140736	1.00682	0.00563788	0.00100666
0.0145737	1.02655	0.00554735	0.00103844
0.0150925	1.00916	0.00513592	0.00107775
0.0156295	1.01731	0.00507856	0.00111121
0.016185	1.01027	0.00475505	0.00115307
0.0167581	0.996227	0.00462402	0.00118798
0.0173488	0.823368	0.00377751	0.00123216
0.0179833	0.532418	0.00259463	0.00127995
0.0186368	0.283874	0.00168749	0.00131862
0.019309	0.182574	0.00121663	0.00136875
0.0199977	0.129191	0.000991653	0.00140821
0.0207018	0.0971164	0.000806118	0.00146007
0.0214579	0.0742338	0.000660003	0.00151612
0.0222292	0.0586859	0.000579394	0.00155847
0.0230139	0.0472658	0.000489175	0.00161571
0.0238565	0.0383422	0.000418303	0.00167756
0.0247108	0.0298902	0.000374492	0.00172208
0.0255738	0.0246411	0.000326693	0.00178415
0.0264998	0.0207868	0.000294215	0.00185112
0.0274958	0.0168179	0.000262513	0.0019236
0.0284996	0.013909	0.00025624	0.00197205
0.0295061	0.0117007	0.000238666	0.00204341
0.0305868	0.00983734	0.000222209	0.0021204
0.0317501	0.00798229	0.000199662	0.00220376
0.0329116	0.00633213	0.000192493	0.00225445
0.0340633	0.00561575	0.000185655	0.00233424
0.0352988	0.00488126	0.00017649	0.00242018
0.0362831	0.00418335	0.000230256	0.00240811
0.0378227	0.00330494	6.75E-05	0.00297946
0.0393131	0.00273417	5.22E-05	0.00309802
0.0408565	0.00233531	4.20E-05	0.00322042
0.0424509	0.00195752	3.30E-05	0.00334638
0.0440932	0.00166237	2.74E-05	0.00347562
0.045825	0.00135167	2.11E-05	0.00362757
0.0476509	0.00114701	1.74E-05	0.00377179
0.0495245	0.000929356	1.39E-05	0.00391907
0.0514968	0.000761771	1.12E-05	0.00409395
0.0535718	0.000634231	9.25E-06	0.00425765
0.0556889	0.000525368	7.72E-06	0.0044238
0.0579103	0.00043046	6.31E-06	0.00462276
0.0602384	0.000356612	5.37E-06	0.0048061
0.0626793	0.000287908	4.42E-06	0.00502747
0.0652346	0.00023736	3.78E-06	0.00522957
0.0679101	0.000191586	3.15E-06	0.00547539
0.0707062	0.00016065	2.76E-06	0.00569776
0.0736281	0.00012829	2.29E-06	0.00597009
0.0766741	0.000101869	2.01E-06	0.00621391
0.079848	8.44E-05	1.72E-06	0.00651433
0.0831455	6.83E-05	1.56E-06	0.00678054
0.086568	5.15E-05	1.34E-06	0.00710986
0.0902853	4.09E-05	1.16E-06	0.00747447
0.0941424	3.58E-05	1.09E-06	0.00779423
0.0981391	2.53E-05	9.92E-07	0.00819454
0.102261	2.18E-05	9.45E-07	0.00854182
0.106503	1.59E-05	8.53E-07	0.00897613
0.111113	1.17E-05	7.80E-07	0.00945863
0.116141	8.26E-06	7.10E-07	0.00999789
0.121322	7.45E-06	7.10E-07	0.0104648
0.126645	4.89E-06	6.70E-07	0.0110531
0.132457	4.17E-06	6.25E-07	0.0117139
0.138827	5.77E-06	5.97E-07	0.0124598
0.145377	4.01E-06	6.14E-07	0.0131081
0.152081	1.72E-06	5.91E-07	0.0139258
0.159434	3.27E-06	6.02E-07	0.0148522
0.167531	1.34E-06	6.17E-07	0.0159106
0.176499	2.18E-06	6.71E-07	0.0171272
0.18572	2.84E-06	7.54E-07	0.0182143
0.195142	8.21E-07	7.70E-07	0.0195707
0.205573	1.31E-06	8.17E-07	0.0211374
0.217183	-1.04E-06	8.35E-07	0.02296
0.230211	-5.73E-07	8.60E-07	0.025093
0.244831	2.05E-07	8.96E-07	0.0276418
0.259978	1.70E-06	1.06E-06	0.0300617
