q	refl	refl_err	q_res (FWHM)
0.00930124	0.00022959	2.46E-05	0.000797142
0.00969171	0.000247766	2.13E-05	0.000830781
0.0101014	0.00018457	1.74E-05	0.000865957
0.0105308	0.000235206	1.62E-05	0.000902666
0.01098	0.000157217	1.32E-05	0.000940893
0.011449	0.000158992	1.17E-05	0.000980593
0.0119378	0.000131527	1.01E-05	0.0010217
0.0124457	0.000122612	8.68E-06	0.00106413
0.012972	0.000128591	7.89E-06	0.00110773
0.0135153	0.00010807	6.86E-06	0.00115236
0.014091	8.78E-05	5.69E-06	0.00120515
0.0147008	8.84E-05	5.04E-06	0.00125496
0.0153272	8.47E-05	4.74E-06	0.00130556
0.0159673	6.85E-05	4.07E-06	0.00135662
0.0166411	6.93E-05	3.79E-06	0.00141783
0.0173495	6.25E-05	3.50E-06	0.00147372
0.0180945	5.13E-05	3.02E-06	0.00154145
0.0188766	4.89E-05	2.87E-06	0.00160234
0.0196978	4.35E-05	2.58E-06	0.00167696
0.020558	3.53E-05	2.33E-06	0.00174288
0.021459	3.25E-05	2.12E-06	0.00182458
0.0224	3.09E-05	2.06E-06	0.00189531
0.0233821	2.91E-05	1.93E-06	0.00198401
0.0244035	2.97E-05	1.93E-06	0.00205903
0.0254642	2.57E-05	1.78E-06	0.00215422
0.0265607	2.11E-05	1.78E-06	0.00223261
0.0276919	2.21E-05	1.76E-06	0.00233319
0.0289243	1.82E-05	1.77E-06	0.00244379
0.0301929	2.00E-05	1.92E-06	0.00253144
0.0314945	1.76E-05	1.90E-06	0.00264682
0.0329141	1.54E-05	1.90E-06	0.00277383
0.0343653	1.74E-05	2.10E-06	0.00286997
0.0358421	1.37E-05	2.06E-06	0.00299998
0.0374521	7.62E-06	1.92E-06	0.00314305
0.0390808	1.43E-05	2.17E-06	0.00324566
0.0407174	6.97E-06	2.06E-06	0.00338809
0.0424976	1.24E-05	2.15E-06	0.00354438
0.0444409	1.14E-05	2.28E-06	0.00371669
0.0463831	8.28E-06	2.43E-06	0.00383121
0.0483051	1.27E-05	2.68E-06	0.00399728
