q	refl	refl_err	q_res (FWHM)
0.00930186	0.000105526	2.48E-05	0.000796448
0.00969238	0.000108209	2.06E-05	0.000830029
0.0101022	0.000115693	1.87E-05	0.000865141
0.0105316	9.45E-05	1.57E-05	0.000901781
0.0109809	6.90E-05	1.33E-05	0.000939931
0.01145	7.77E-05	1.17E-05	0.000979549
0.0119388	7.28E-05	1.03E-05	0.00102057
0.0124468	7.45E-05	9.03E-06	0.00106289
0.0129732	6.43E-05	7.79E-06	0.00110639
0.0135167	5.71E-05	6.80E-06	0.00115091
0.0140925	5.34E-05	5.73E-06	0.00120358
0.0147024	5.93E-05	5.27E-06	0.00125325
0.0153289	5.07E-05	4.62E-06	0.00130369
0.0159692	3.14E-05	3.90E-06	0.00135459
0.0166432	3.97E-05	3.67E-06	0.00141564
0.0173518	3.51E-05	3.41E-06	0.00147134
0.018097	3.18E-05	3.01E-06	0.00153887
0.0188793	2.19E-05	2.63E-06	0.00159953
0.0197007	1.94E-05	2.44E-06	0.00167392
0.0205612	1.72E-05	2.23E-06	0.00173955
0.0214228	1.79E-05	2.23E-06	0.00180392
0.0223186	1.29E-05	1.90E-06	0.00188374
0.0232934	1.36E-05	1.89E-06	0.00197136
0.0243067	9.51E-06	1.81E-06	0.00204535
0.0253588	1.10E-05	1.76E-06	0.00213928
0.026446	1.19E-05	1.86E-06	0.0022165
0.0275671	9.64E-06	1.79E-06	0.00231563
0.0287882	1.02E-05	1.85E-06	0.00242457
0.0300445	5.25E-06	1.99E-06	0.0025107
0.0313331	7.02E-06	1.96E-06	0.0026242
0.0327377	9.97E-06	2.07E-06	0.00274904
0.034173	-2.28E-07	2.07E-06	0.00284327
0.035633	6.92E-06	2.19E-06	0.00297086
0.0372237	1.00E-05	2.27E-06	0.00311115
0.0388322	9.45E-06	2.36E-06	0.00321141
0.0404475	5.77E-06	2.25E-06	0.00335085
0.0422035	4.68E-06	2.29E-06	0.0035037
0.0441195	2.68E-06	2.40E-06	0.00367209
0.0460329	4.06E-06	2.75E-06	0.0037834
0.0479253	-2.05E-06	2.71E-06	0.00394532
