q	refl	refl_err	q_res (FWHM)
0.00803303	1.01286	0.0224518	0.000579175
0.00831724	0.973061	0.0188045	0.000599471
0.00861183	0.967156	0.0166753	0.000620386
0.0089166	1.01747	0.0159961	0.000641882
0.00923124	1.01599	0.0144763	0.000663916
0.00955529	1.00617	0.0130794	0.000686427
0.00988813	1.01479	0.012266	0.000709348
0.0102377	1.00549	0.0110826	0.000736373
0.0106047	0.979259	0.0100242	0.000761492
0.0109801	1.00313	0.00941478	0.000786915
0.0113737	0.999943	0.00844429	0.000817253
0.0117859	0.983989	0.00780081	0.000844915
0.0122052	1.01565	0.00758167	0.000872685
0.0126434	0.989852	0.00675678	0.000906244
0.0131006	0.994606	0.00640272	0.000936137
0.0135621	0.999578	0.00610962	0.000965823
0.0140418	0.998735	0.00563155	0.00100216
0.0145396	1.00173	0.00547097	0.00103363
0.0150558	1.00163	0.00513032	0.00107258
0.0155901	1.01611	0.00509978	0.00110569
0.0161427	0.996555	0.00472872	0.00114714
0.0167128	0.983942	0.00460251	0.00118165
0.0173002	0.801794	0.00372142	0.00122536
0.017931	0.510355	0.00253081	0.00127264
0.0185807	0.27312	0.00165637	0.00131081
0.0192487	0.177633	0.00120391	0.00136036
0.0199329	0.128441	0.000991685	0.00139926
0.0206323	0.0969903	0.000805066	0.00145048
0.0213832	0.0750714	0.000661074	0.0015058
0.022149	0.0585264	0.00057667	0.00154748
0.0229279	0.0478402	0.000492684	0.00160392
0.023764	0.0382141	0.000418231	0.00166488
0.0246116	0.0309466	0.000382729	0.00170858
0.0254675	0.0254143	0.000333149	0.00176969
0.0263856	0.0208608	0.000295208	0.00183558
0.0273728	0.0177936	0.000270066	0.00190685
0.0283674	0.0152749	0.000268388	0.00195426
0.0293645	0.0125573	0.000247575	0.00202433
0.0304346	0.0101589	0.000226528	0.00209989
0.031586	0.00830617	0.000204013	0.00218166
0.0327353	0.00713752	0.000204203	0.00223099
0.0338744	0.0061159	0.000194296	0.00230911
0.035096	0.00511006	0.000179985	0.00239321
0.0364094	0.00416888	0.00016289	0.00248405
0.0377016	0.00363342	0.00016722	0.00253243
0.0389602	0.00322131	0.000158334	0.00261575
0.0398848	0.00295101	5.41E-05	0.00313221
0.0414388	0.00244978	4.11E-05	0.00326743
0.0430805	0.00204984	3.30E-05	0.00339721
0.0447736	0.00177378	2.73E-05	0.00353051
0.046514	0.00146014	2.17E-05	0.00366692
0.0483474	0.00125953	1.77E-05	0.00382804
0.0502779	0.00104592	1.43E-05	0.00397986
0.0522531	0.0008928	1.20E-05	0.00413436
0.0543286	0.000739939	9.68E-06	0.00431859
0.0565076	0.000633392	8.26E-06	0.0044896
0.0587213	0.000542193	7.15E-06	0.00466229
0.0610376	0.000454399	5.88E-06	0.00486987
0.0634574	0.000380686	5.05E-06	0.00505924
0.0659854	0.000324619	4.26E-06	0.00528848
0.0686214	0.000270011	3.71E-06	0.00549558
0.0713693	0.00023663	3.20E-06	0.00574791
0.0742269	0.0001921	2.78E-06	0.00597352
0.0771968	0.000168792	2.42E-06	0.00624992
0.0804152	0.00013573	2.05E-06	0.00655458
0.0837609	0.000115459	1.87E-06	0.00682405
0.0872353	9.45E-05	1.61E-06	0.00715839
0.0908305	8.22E-05	1.49E-06	0.0074511
0.0945445	6.74E-05	1.32E-06	0.00781514
0.0985759	5.43E-05	1.17E-06	0.00821822
0.102736	4.65E-05	1.12E-06	0.00856792
0.107018	3.74E-05	1.01E-06	0.00900558
0.111673	3.19E-05	8.99E-07	0.00949248
0.116755	2.52E-05	8.20E-07	0.0100377
0.121992	1.96E-05	7.99E-07	0.0105077
0.127374	1.56E-05	7.37E-07	0.0111027
0.133254	1.32E-05	6.77E-07	0.0117712
0.139705	1.23E-05	6.40E-07	0.0125271
0.14634	8.24E-06	6.55E-07	0.0131835
0.153134	6.04E-06	6.24E-07	0.0140134
0.160592	5.24E-06	6.30E-07	0.0149542
0.16881	3.99E-06	6.52E-07	0.0160305
0.177224	3.96E-06	7.54E-07	0.0169814
0.185785	2.44E-06	7.72E-07	0.0181639
0.195215	-3.04E-07	7.77E-07	0.0195193
0.205655	1.54E-06	8.44E-07	0.0210803
0.217276	-1.69E-06	8.51E-07	0.0229007
0.230324	2.54E-06	8.72E-07	0.0250333
0.244945	-5.99E-07	9.03E-07	0.0275789
