q	refl	refl_err	q_res (FWHM)
0.00803273	1.02165	0.0225973	0.000579595
0.00831692	0.991955	0.0190804	0.000599921
0.00861148	0.978232	0.016818	0.000620868
0.00891622	1.02619	0.016097	0.0006424
0.00923083	1.02202	0.0145389	0.000664471
0.00955485	1.00767	0.0130923	0.000687023
0.00989579	1.02218	0.0120293	0.000713545
0.0102545	1.00575	0.0110255	0.000738398
0.0106227	0.998725	0.0101068	0.000763664
0.0109996	1.01146	0.00943519	0.000789239
0.0113837	0.995965	0.00861963	0.000815006
0.0117852	0.999623	0.0078951	0.000845817
0.0122045	1.01826	0.00759533	0.000873655
0.0126426	1.00921	0.00685705	0.000907279
0.0130997	1.01159	0.00648615	0.000937253
0.0135612	1.01305	0.00617178	0.000967024
0.0140408	1.01373	0.00569539	0.00100344
0.0145385	1.01659	0.00553201	0.00103501
0.0150547	1.00431	0.00513917	0.00107405
0.0155889	1.01216	0.00508246	0.00110728
0.0161415	1.0062	0.00476243	0.00114883
0.0167114	1.00191	0.00466544	0.00118347
0.0172987	0.832439	0.00382605	0.00122731
0.0179294	0.545909	0.00265081	0.00127472
0.0185789	0.29533	0.00173936	0.00131306
0.0192468	0.187819	0.00124445	0.00136276
0.0199309	0.132604	0.00101067	0.00140187
0.0206302	0.103125	0.000831819	0.00145325
0.0213809	0.0785433	0.00067464	0.00150876
0.0221465	0.0601629	0.000584369	0.00155069
0.0229252	0.0490723	0.000499146	0.00160734
0.0237612	0.0399984	0.000427987	0.00166853
0.0246086	0.0318991	0.000388331	0.00171256
0.0254643	0.026812	0.00034199	0.00177393
0.0263821	0.0215978	0.000299988	0.0018401
0.027369	0.0184727	0.000275313	0.00191169
0.0283634	0.0150456	0.000266362	0.00195954
0.0293601	0.0120249	0.000242	0.00202995
0.0304299	0.0105902	0.000230382	0.00210591
0.031581	0.00854302	0.000206502	0.00218809
0.0327299	0.00756755	0.0002099	0.00223805
0.0338686	0.00580564	0.000188862	0.00231663
0.0350898	0.00553981	0.000187399	0.00240126
0.0364027	0.00452751	0.000169501	0.00249265
0.037818	0.00351632	0.000149202	0.0025917
0.0392144	0.00320195	0.000156694	0.00264327
0.0398828	0.00305705	5.56E-05	0.00313447
0.0414367	0.00246695	4.13E-05	0.00326986
0.0430782	0.00220083	3.46E-05	0.00339984
0.044771	0.00182796	2.78E-05	0.00353335
0.0465113	0.00151542	2.22E-05	0.00366999
0.0483445	0.0013073	1.81E-05	0.00383132
0.0502747	0.00107842	1.47E-05	0.00398341
0.0522496	0.000904312	1.21E-05	0.00413822
0.0543248	0.000771565	9.94E-06	0.00432271
0.0565036	0.000650934	8.39E-06	0.00449406
0.0587169	0.000542766	7.15E-06	0.00466713
0.0610328	0.000469495	5.98E-06	0.00487504
0.0634522	0.000388126	5.11E-06	0.00506482
0.0659799	0.000332206	4.32E-06	0.00529445
0.0686155	0.000279667	3.77E-06	0.00550204
0.0713629	0.000237136	3.20E-06	0.0057548
0.0742199	0.000202371	2.83E-06	0.00598101
0.0771892	0.000167012	2.41E-06	0.00625795
0.0804069	0.00013809	2.06E-06	0.00656309
0.0837517	0.000116857	1.86E-06	0.00683334
0.0872256	9.84E-05	1.62E-06	0.00716831
0.09082	8.26E-05	1.49E-06	0.0074619
0.094533	6.77E-05	1.31E-06	0.00782666
0.0985637	5.79E-05	1.18E-06	0.00823058
0.102722	4.70E-05	1.12E-06	0.00858127
0.107003	3.79E-05	1.00E-06	0.00902008
0.111657	3.33E-05	8.99E-07	0.00950792
0.116736	2.70E-05	8.16E-07	0.0100538
0.121973	2.31E-05	8.00E-07	0.0105259
0.127354	1.52E-05	7.21E-07	0.0111222
0.133232	1.36E-05	6.80E-07	0.0117919
0.13968	1.16E-05	6.33E-07	0.0125483
0.146312	9.20E-06	6.50E-07	0.0132072
0.153104	8.13E-06	6.22E-07	0.0140382
0.160559	5.78E-06	6.20E-07	0.0149814
0.168773	2.47E-06	6.31E-07	0.0160585
0.177186	3.33E-06	7.36E-07	0.0170124
0.185742	3.52E-06	7.62E-07	0.0181978
0.195164	1.83E-06	7.71E-07	0.0195538
0.205605	4.78E-06	8.32E-07	0.0211187
0.217213	1.38E-06	8.39E-07	0.0229389
0.23025	-5.08E-07	8.53E-07	0.0250729
0.244861	-4.47E-07	8.75E-07	0.0276107
