q	refl	refl_err	q_res (FWHM)
0.00930202	3.72E-05	1.93E-05	0.000796223
0.00969256	7.81E-05	1.78E-05	0.000829786
0.0101024	8.13E-05	1.51E-05	0.000864876
0.0105318	6.85E-05	1.30E-05	0.000901494
0.0109811	8.80E-05	1.13E-05	0.000939619
0.0114503	6.96E-05	9.94E-06	0.00097921
0.0119391	5.00E-05	8.25E-06	0.0010202
0.0124471	7.83E-05	7.46E-06	0.00106249
0.0129735	5.22E-05	6.50E-06	0.00110596
0.0135171	4.82E-05	5.76E-06	0.00115043
0.0140929	4.86E-05	4.81E-06	0.00120307
0.0147028	3.33E-05	3.97E-06	0.00125269
0.0153294	3.40E-05	3.69E-06	0.00130308
0.0159697	2.24E-05	3.13E-06	0.00135392
0.0166438	2.14E-05	2.88E-06	0.00141493
0.0173524	1.51E-05	2.61E-06	0.00147056
0.0180977	1.74E-05	2.38E-06	0.00153803
0.0188801	1.60E-05	2.20E-06	0.00159861
0.0197015	1.25E-05	1.94E-06	0.00167292
0.0205621	1.24E-05	1.84E-06	0.00173846
0.0214238	1.13E-05	1.78E-06	0.00180273
0.0223197	7.66E-06	1.58E-06	0.00188245
0.0232946	1.09E-05	1.57E-06	0.00196997
0.0243081	7.80E-06	1.54E-06	0.00204383
0.0253603	7.87E-06	1.43E-06	0.00213764
0.0264476	7.88E-06	1.47E-06	0.00221469
0.0275689	6.16E-06	1.45E-06	0.00231368
0.0287901	5.59E-06	1.48E-06	0.00242246
0.0300466	6.67E-06	1.64E-06	0.00250838
0.0313354	6.46E-06	1.66E-06	0.00262168
0.0327402	2.32E-06	1.59E-06	0.00274633
0.0341758	5.41E-06	1.78E-06	0.00284026
0.035636	6.02E-06	1.85E-06	0.00296763
0.037227	5.81E-06	1.86E-06	0.00310765
0.0388357	1.27E-06	1.93E-06	0.00320754
0.0404514	7.94E-06	2.01E-06	0.0033467
0.0422078	1.88E-06	1.97E-06	0.00349922
0.0441241	2.23E-06	2.00E-06	0.00366724
0.046038	-1.44E-07	2.30E-06	0.00377802
0.0479309	1.41E-06	2.58E-06	0.00393952
