q	refl	refl_err	q_res (FWHM)
0.00803288	1.04088	0.0229336	0.000579394
0.00831708	0.998443	0.0191796	0.000599705
0.00861165	1.01201	0.0172719	0.000620636
0.00891641	1.04066	0.0162783	0.000642151
0.00923104	1.02814	0.0146087	0.000664204
0.00955507	1.0194	0.0132117	0.000686736
0.0098879	1.03431	0.0124476	0.000709678
0.0102374	1.01434	0.0111585	0.000736724
0.0106044	1.0178	0.0103293	0.00076187
0.0109798	1.01173	0.00947635	0.00078732
0.0113734	1.00635	0.00848558	0.000817685
0.0117855	1.00434	0.00792632	0.00084538
0.0122049	1.01608	0.00758454	0.000873184
0.012643	1.00853	0.0068551	0.000906776
0.0131001	1.01785	0.00651867	0.000936711
0.0135616	1.01789	0.00619607	0.000966439
0.0140413	1.00906	0.00567625	0.00100282
0.014539	1.02491	0.00556863	0.00103434
0.0150553	1.01285	0.00517448	0.00107334
0.0155895	1.01913	0.00511096	0.0011065
0.0161421	1.01273	0.0047879	0.00114801
0.0167121	0.954873	0.0044962	0.00118258
0.0172994	0.725298	0.00345408	0.00122636
0.0179302	0.430824	0.00225378	0.0012737
0.0185798	0.237857	0.00152012	0.00131196
0.0192477	0.16105	0.00113534	0.00136159
0.0199319	0.119472	0.000950747	0.00140059
0.0206313	0.0896747	0.000770166	0.00145189
0.021382	0.0700208	0.000637132	0.0015073
0.0221478	0.0552461	0.000560427	0.00154911
0.0229265	0.0439116	0.0004715	0.00160566
0.0237626	0.0356914	0.000403606	0.00166674
0.0246101	0.0297155	0.000374672	0.00171061
0.0254659	0.0242986	0.000325955	0.00177184
0.0263839	0.0200951	0.000289175	0.00183788
0.0273709	0.0169565	0.000263589	0.00190931
0.0283654	0.0138885	0.000256009	0.00195694
0.0293623	0.0118389	0.000240253	0.00202718
0.0304322	0.00961675	0.000220175	0.00210295
0.0315835	0.00831188	0.000203655	0.00218492
0.0327326	0.00710114	0.000203722	0.00223456
0.0338715	0.00564736	0.000186412	0.00231291
0.0350929	0.00521633	0.000182144	0.00239728
0.036406	0.00411627	0.000162328	0.0024884
0.037698	0.00375623	0.000168752	0.00253722
0.0389564	0.00312791	0.000155726	0.00262085
0.0398848	0.00280998	5.21E-05	0.0031322
0.0414388	0.00227726	3.89E-05	0.00326743
0.0430805	0.00196195	3.19E-05	0.00339722
0.0447736	0.00172756	2.67E-05	0.00353051
0.046514	0.00144187	2.14E-05	0.00366691
0.0483474	0.00120381	1.72E-05	0.00382804
0.0502779	0.00100847	1.40E-05	0.00397987
0.0522531	0.000842584	1.16E-05	0.00413437
0.0543286	0.000704396	9.43E-06	0.00431859
0.0565076	0.000607505	8.08E-06	0.0044896
0.0587213	0.000524245	6.99E-06	0.00466229
0.0610376	0.000435033	5.74E-06	0.00486986
0.0634574	0.000374329	4.99E-06	0.00505924
0.0659854	0.000312381	4.18E-06	0.00528846
0.0686214	0.000261277	3.66E-06	0.00549555
0.0713694	0.000223537	3.12E-06	0.00574785
0.074227	0.000191568	2.77E-06	0.0059735
0.0771968	0.000159924	2.37E-06	0.0062499
0.0804152	0.00013144	2.00E-06	0.00655451
0.0837607	0.000109357	1.82E-06	0.00682402
0.0872353	9.68E-05	1.62E-06	0.00715846
0.0908305	7.64E-05	1.46E-06	0.00745118
0.0945444	6.82E-05	1.32E-06	0.00781514
0.098576	5.63E-05	1.19E-06	0.00821812
0.102736	4.41E-05	1.11E-06	0.00856787
0.107018	3.78E-05	1.01E-06	0.00900564
0.111673	3.06E-05	9.04E-07	0.00949254
0.116755	2.52E-05	8.18E-07	0.0100374
0.121992	2.14E-05	8.10E-07	0.0105076
0.127374	1.84E-05	7.50E-07	0.0111029
0.133254	1.63E-05	7.02E-07	0.0117716
0.139704	9.93E-06	6.49E-07	0.0125271
0.14634	1.02E-05	6.75E-07	0.0131834
0.153135	7.24E-06	6.45E-07	0.0140134
0.160592	4.15E-06	6.40E-07	0.0149546
0.168807	4.39E-06	6.71E-07	0.0160305
0.177224	1.05E-06	7.58E-07	0.0169814
0.185785	3.59E-06	7.93E-07	0.0181651
0.195215	4.80E-07	8.04E-07	0.0195203
0.205655	1.16E-06	8.67E-07	0.0210803
0.217275	3.07E-06	8.78E-07	0.0229002
0.23032	-7.03E-07	8.98E-07	0.0250338
0.244953	1.39E-06	9.47E-07	0.0275789
